id,active
250462324156,0.05
61214568335,0.45
274776763999,0.18
91546215019,0.06
220718580189,0.43
136936966451,0.02
241672686262,0.15
209116201436,0.45
264771786874,0.41
34086439265,0.36
186793458946,0.09
237798400437,0.33
241124654998,0.17
55872097191,0.27
229599235965,0.21
85673038598,0.07
286768879472,0.13
36953444299,0.26
148130977720,0.46
178795338043,0.02
249545764382,0.32
207592804167,0.07
148749223395,0.46
287697089334,0.1
40135007396,0.1
163464544360,0.09
106856472825,0.02
204659159347,0.15
220706105665,0.14
280603157044,0.21
109151143306,0.52
178340904733,0.58
266880440140,0.02
214480590147,0.28
151021288276,0.04
220192239314,0.14
39075602291,0.06
200996231204,0.08
111292835870,0.11
84451466103,0.22
250002663235,0.13
31948135639,0.17
154499206852,0.29
210140534577,0.02
250761125145,0.03
256716856712,0.14
238239095163,0.06
137784843129,0.27
132437472901,0.17
17461572620,0.0
37687520971,0.13
154861402942,0.15
190384104272,0.54
67745552271,0.05
37478261876,0.64
200222349777,0.41
245046053630,0.01
299405104632,0.1
250161168280,0.63
230223595559,0.2
96157090654,0.08
190569590845,0.33
291154956077,0.12
65160181904,0.16
44617972409,0.06
179238808446,0.03
40366294504,0.2
272935865573,0.38
255180083940,0.17
128263091329,0.06
16891857460,0.15
147740679354,0.31
155076034820,0.0
183922301476,0.22
19337897749,0.56
172276380618,0.08
81901931763,0.04
168426353610,0.16
24302693155,0.04
284018167494,0.52
36559608725,0.05
196744352891,0.04
127241341608,0.01
77903058873,0.21
69762606061,0.14
38434240350,0.07
108170652890,0.29
224842751477,0.18
83313877143,0.29
88465080816,0.16
101949706294,0.11
44323735509,0.16
45171232977,0.24
266229792433,0.0
279502415328,0.43
99253422836,0.09
42119037338,0.38
46138962325,0.04
113203844962,0.37
52584997184,0.27
3473040437,0.38
127082263032,0.07
274787428397,0.18
56637905273,0.15
242225528088,0.13
113615262547,0.04
110421604659,0.21
212122208927,0.04
272669754350,0.14
100502354360,0.22
119757682680,0.03
66511872940,0.26
27610779040,0.0
117655898175,0.33
297882706438,0.06
66684913906,0.14
206803539071,0.05
115945354103,0.3
43997725941,0.19
62258720612,0.12
114988749244,0.01
84831125860,0.29
30412259839,0.19
248940398286,0.13
261474690581,0.05
207608095664,0.26
38831922879,0.15
15018804203,0.18
230241544139,0.35
160159303376,0.2
51845568531,0.22
145027039836,0.08
17405385586,0.1
54126442051,0.19
227965587882,0.35
134364643218,0.47
223537781225,0.05
42388970989,0.1
73890575530,0.06
6116281910,0.07
112331584589,0.07
231917056885,0.35
125952793391,0.06
145166702825,0.24
148101409327,0.06
65627171676,0.24
123109096316,0.3
21210310718,0.28
177663432789,0.17
174276241796,0.15
169564162883,0.61
252114457778,0.35
233860986210,0.04
244392422524,0.28
187054335653,0.33
15979241063,0.03
86220661987,0.14
190117680237,0.42
188060773624,0.38
43206091477,0.33
23205698636,0.33
251128378749,0.15
55905800303,0.24
277466839286,0.32
241776204323,0.6
7641869127,0.19
185232424793,0.12
39912921033,0.24
126815166694,0.25
297593453388,0.13
43596580254,0.24
228817833952,0.33
203812683148,0.6
47103359597,0.1
283289084229,0.05
128363783009,0.04
133575151758,0.69
183542378446,0.58
62662755110,0.04
209495147664,0.42
71234667628,0.14
85972604435,0.11
96998930739,0.27
118113650174,0.26
123453527841,0.19
222106784708,0.03
289854562092,0.54
247097766138,0.05
117302016154,0.05
94351178017,0.16
78871599026,0.03
234961487655,0.17
204421326876,0.12
257558107133,0.18
87229771726,0.31
158191272768,0.09
